start_id_a,start_name_a,start_id_b,start_name_b,meeting_step,meeting_id,meeting_name
300f1367-4ba4-4416-90e4-caa8f33e9144,LITOSTROJSKA,2323bf9e-1a47-4409-b9c8-398a035c8d12,Študa trgovina,3550,484b5c91-1220-43ba-af79-84e712fcc46b,Slovenija avto
4a90e424-11ab-43a8-b7e9-1c4f42fe2b7c,Pod Hribom,b589ddd3-5a31-4fe1-915f-44347b4c0a1a,Bratov Učakar,5001,TIMEOUT,TIMEOUT
dc6b96b1-d0fa-4d03-ac2b-8eba5bb97ba2,Peruzzijeva,34ead609-4331-48ab-8e82-52dd70da9832,Ig Petrol,842,d861c2ce-106a-4b95-a4fc-2af355c0bbf0,Lahova pot
7b822496-7ea4-4ce8-b78c-1d021c68a9ed,Puhova,9a14b0ec-f13a-46f0-8c4f-07d8b99241e2,Cesta v Zavoglje,4556,010c271e-49ca-45a5-91ac-8ba8d41ee7f3,Čerinova
a6b87518-2a7f-4505-898f-245ebe23c909,Krožna pot,e2499103-6634-4d8e-87a8-68dc5ef6340c,Sp. Gameljne 2,1243,7fdce743-a4be-44d7-8658-0a259a18ad30,Stožice
c8f784f8-ce92-4773-8d90-c6bed3513ce0,Zadvor pri Grosupljem,216a26dc-11c2-432b-b099-0d55d508b7fa,Cesta v Gorice,5001,TIMEOUT,TIMEOUT
824255dc-9be8-4f7b-9b69-2bd4e5a3fc27,Pohorskega bataljona,31e6db90-ba65-4c49-90c0-317fb92596b3,Medvode,480,77dcd833-fa4d-4c5a-93b1-31284942e61d,Šišenska
b8533150-cf69-441a-8fc4-18f39cbef16b,JEŽICA,22c11486-1afa-491f-b9ab-162d88c8c44d,Prelog Mngan,5001,TIMEOUT,TIMEOUT
1df1835b-cfd3-40e7-9466-9c9d43642bed,Zaboršt,639551cf-fe23-4363-8ccd-655bc5d4119e,Zmajski most,4482,c6eab761-36e0-4bf8-88ed-48e594ed375b,Parmova
bd1396f2-4dc8-4695-9bf1-c601157100d8,Preglov trg,6559d555-672b-4633-8a81-0ae68fb963eb,ZD POLJE,22,0bb103e4-c4a6-4c4c-a13d-217ab4e6dfd3,Cesta na Vevče
e57aad1d-457e-401f-b26d-306b4fd836eb,Kašeljska,4c277b3f-c427-404b-ace3-2cd51656318f,Tehnounion,5001,TIMEOUT,TIMEOUT
807c11ba-4b3a-4e2b-82b5-abf5864fa4bc,Pot na Fužine,edf94a12-03e9-4225-b6cc-aca0edf588a7,Šentvid,5001,TIMEOUT,TIMEOUT
9c17244c-0812-404b-b929-5cdc0591e421,Podmornica,cee2862b-9b70-4880-8fa3-16c6d2efae1b,AMZS,5001,TIMEOUT,TIMEOUT
32abc648-685c-47b0-bbc4-203371ec2699,Podpeč 1,acedfed0-a3ba-4fa3-8cd6-910783961f0a,Goričane kopališče,2502,9276fcfb-0f7e-4df3-b827-325600851526,Topniška
befe0e87-b5fe-41ff-9a77-f65461eff28d,Brinje,eb669f04-cfb6-4ea4-90c9-26eb551ecb45,Bilečanska,5001,TIMEOUT,TIMEOUT
a12cff7f-91e5-4f1e-be40-1a9b34ae792a,Agrokombinatska,d4c25d68-c340-431b-a646-7680fe0cefee,Pržanec,5001,TIMEOUT,TIMEOUT
48b163cd-b819-4849-aee1-8b1da77657ab,Šentvid,9e90940e-cf99-4112-87ec-7cbb6331509a,ZG. Pirniče,133,35aedf45-cca3-4f2f-931b-138d29d20fe9,MEDVODE
59ee5f7d-476b-4958-a922-2040a9308f3b,Kranjčeva,0be53afd-2427-49b2-b70c-2ee3d89e9762,SORA obrač.,5001,TIMEOUT,TIMEOUT
e0f10330-ad34-453d-baf4-d6c601cb6cf8,Blaževo,59d96e2c-3ee3-4581-840a-3ddaf0003743,Osenjakova,4697,07bad99d-070a-42f7-8766-d11d42152623,Prekmurska
d9a82add-03d0-47d8-9f35-117b7a5ded44,Gerbičeva,18d010ca-0244-4928-82cb-47af0836a1bb,Krivec,5001,TIMEOUT,TIMEOUT
db9f7130-0bc2-4f3e-b8cd-07cfe96b1f8f,KOLODVOR,b5e26d7f-8a91-4360-9811-2e8e05d27382,Bratov Babnik,3659,35dbaf26-2fa4-45c4-87fc-81d1ff13b005,Tbilisijska
d5961b09-f5e8-4a0b-9bbb-2515ff0a8376,Ob daljnovodu,47283e27-c588-411c-9303-30a6f0beeaef,Zgornji log,1882,35aedf45-cca3-4f2f-931b-138d29d20fe9,MEDVODE
8677848c-55dd-4af4-b275-3074a3ff4846,Vrhovci,e65047c0-c01e-4727-b466-78e107c81ee4,SŽ KOLODVOR,4368,07b4c585-66cf-49d7-906c-50f1122c8e9e,Cesta XV
1907a46a-4559-43ec-8363-03fe35d30725,Rudnik,f496ecc3-28fe-4361-9da8-428bbf3bd672,Ljubljanaska,1931,6182f8e8-c45e-4606-b4a4-d909bd44d2cc,Gornji trg
156a6f62-9a67-4cf0-ad56-85a343c77cd2,Agrokombinatska,d08c4884-9764-447f-9b79-0ef7a645222f,Ledena dvorana Zalog,15,60edf514-fd83-400b-b86f-881f7eff258b,Hladilniška
3c143688-247f-41cc-960d-f5e37b874c3a,Črnuče,c2827897-b9fe-4bfc-b4ed-880f11a2359e,ZELENA JAMA,1349,639551cf-fe23-4363-8ccd-655bc5d4119e,Zmajski most
f5e84751-7377-402c-974c-53276e422e70,Na klancu,e9382efd-d64d-46b0-9a7d-a4e6a0188725,Omersova,5001,TIMEOUT,TIMEOUT
35dbaf26-2fa4-45c4-87fc-81d1ff13b005,Tbilisijska,d0790612-d161-4be4-953d-a7a0c33acf1e,Cesta na Brod,1530,c87db9be-1fba-4102-a743-0ee4317dd5af,Bavarski dvor
86303165-4af4-4fcd-b0f9-43ed865454f4,Glonarjeva,1e4be02a-ac61-41bc-b9b5-1ef7850313ed,IMP,5001,TIMEOUT,TIMEOUT
4ab506fa-0fcd-431b-ace7-19ffa5f0576a,Reaktor,77dcd833-fa4d-4c5a-93b1-31284942e61d,Šišenska,1260,38b3abed-0592-407b-96c3-85a026f2e192,Dalmatinova
